absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
191737.7624563,2.648293,0.011465,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7738311,2.659988,0.0116947,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7860391,2.671756,0.0117686,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7973876,2.683145,0.0113885,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8089301,2.695033,0.0118885,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8211361,2.706881,0.0118476,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8317269,2.717843,0.0109619,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8433336,2.729024,0.0111818,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8549004,2.74068,0.0116553,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8657933,2.751889,0.0112097,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8772585,2.763066,0.0111765,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.8888071,2.774905,0.0118392,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9011738,2.786034,0.0111288,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9112609,2.797295,0.0112606,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9223941,2.808116,0.0108218,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9333862,2.819348,0.0112316,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9451636,2.830789,0.0114409,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9564021,2.842029,0.0112396,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9679583,2.853719,0.0116901,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9800059,2.865555,0.0118359,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.9921831,2.878255,0.0127002,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0038907,2.889637,0.0113826,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0161889,2.90199,0.0123524,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0277648,2.913911,0.0119215,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0405132,2.926313,0.0124014,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0526481,2.938693,0.0123807,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0652616,2.951062,0.0123689,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0775235,2.963224,0.0121619,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.0896189,2.975502,0.0122775,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1032174,2.988636,0.0131348,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1140748,2.999939,0.0113031,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1267289,3.012509,0.0125699,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1381565,3.023955,0.0114459,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1503167,3.036393,0.0124373,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1620861,3.047871,0.0114782,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1737229,3.059804,0.0119329,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1866579,3.072249,0.0124457,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.1979287,3.083692,0.0114429,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2094591,3.095544,0.0118516,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2216856,3.107385,0.011841,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2347896,3.120102,0.0127176,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2451281,3.130924,0.0108211,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2569967,3.142518,0.0115947,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2691275,3.15482,0.0123021,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.2799221,3.165701,0.0108803,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.291999,3.177864,0.0121637,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3048912,3.19011,0.0122459,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3185728,3.200721,0.010611,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3298442,3.215817,0.0150955,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3413531,3.227099,0.0112827,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3600721,3.245886,0.0187864,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3641276,3.250313,0.004427,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3755297,3.261329,0.0110162,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.3866403,3.272867,0.0115381,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.398104,3.283907,0.0110403,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4089611,3.295175,0.0112677,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4207496,3.306637,0.0114618,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4313025,3.317547,0.0109098,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4431229,3.328967,0.0114197,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4536415,3.339843,0.0108767,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4648534,3.350764,0.0109209,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4770689,3.362625,0.0118609,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4872336,3.373105,0.0104799,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.4982745,3.384126,0.0110216,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5091929,3.395391,0.0112645,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5209838,3.406734,0.0113425,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5319242,3.417928,0.011194,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5428185,3.428677,0.0107498,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5543962,3.440271,0.0115937,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5650636,3.451208,0.0109374,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5760699,3.461944,0.0107352,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.58717,3.473323,0.0113792,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.5983091,3.484216,0.0108929,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6089674,3.495208,0.0109918,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6209693,3.506763,0.0115553,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6311975,3.517405,0.0106419,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.642735,3.528563,0.0111589,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6534527,3.539667,0.0111034,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6653302,3.551203,0.0115363,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6761023,3.561976,0.010773,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6870259,3.573156,0.0111801,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.6982335,3.584112,0.0109557,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7090344,3.595243,0.0111306,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7209401,3.606694,0.0114517,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
